,time,open,high,low,close,tickvol,vol
0,2020-09-18 09:00:00,100100,100150,99920,99960,61234,180445
1,2020-09-18 09:15:00,99960,99990,99875,99915,51166,155536
2,2020-09-18 09:30:00,99920,99960,99845,99930,60311,179824
3,2020-09-18 09:45:00,99930,99980,99880,99950,50684,153004
4,2020-09-18 10:00:00,99950,99960,99550,99730,178600,582646
5,2020-09-18 10:15:00,99730,100135,99685,99895,188769,656454
6,2020-09-18 10:30:00,99890,100155,99710,99740,206572,747550
7,2020-09-18 10:45:00,99740,99750,99405,99605,177676,650304
8,2020-09-18 11:00:00,99605,99790,99555,99785,110724,410647
9,2020-09-18 11:15:00,99785,99980,99710,99855,132520,483163
10,2020-09-18 11:30:00,99855,100015,99690,99965,122133,455066
11,2020-09-18 11:45:00,99965,99970,99710,99775,114141,436141
12,2020-09-18 12:00:00,99775,99970,99655,99950,107460,389253
13,2020-09-18 12:15:00,99950,100005,99755,99925,80383,324909
14,2020-09-18 12:30:00,99925,99940,99560,99580,96849,379833
15,2020-09-18 12:45:00,99585,99585,98910,99000,183427,745319
16,2020-09-18 13:00:00,98995,99025,98725,98880,116749,505055
17,2020-09-18 13:15:00,98880,98920,98770,98840,63639,261602
18,2020-09-18 13:30:00,98845,98940,98670,98920,86793,331518
19,2020-09-18 13:45:00,98920,98995,98815,98940,69375,275413
20,2020-09-18 14:00:00,98945,98950,98735,98885,67544,266188
21,2020-09-18 14:15:00,98880,98880,98350,98355,111170,471923
22,2020-09-18 14:30:00,98350,98530,98010,98130,178972,715761
23,2020-09-18 14:45:00,98130,98370,98065,98365,71844,261540
24,2020-09-18 15:00:00,98365,98500,98240,98405,75603,310956
25,2020-09-18 15:15:00,98400,98645,98330,98520,79432,321010
26,2020-09-18 15:30:00,98515,98665,98370,98395,71210,282750
27,2020-09-18 15:45:00,98395,98520,98335,98510,72173,288618
28,2020-09-18 16:00:00,98510,98535,98295,98330,72961,287204
29,2020-09-18 16:15:00,98330,98365,98155,98275,81795,341027
30,2020-09-18 16:30:00,98275,98355,98160,98165,66680,276019
31,2020-09-18 16:45:00,98165,98400,98130,98200,82217,349271
32,2020-09-18 17:00:00,98200,98350,98055,98315,66007,282858
33,2020-09-18 17:15:00,98315,98335,98220,98265,27551,98403
34,2020-09-18 17:30:00,98270,98350,98190,98305,28990,109215
35,2020-09-18 17:45:00,98300,98310,97960,98090,31611,104289
36,2020-09-21 09:00:00,96720,96850,96515,96690,89324,261266
37,2020-09-21 09:15:00,96685,96945,96640,96735,108134,322693
38,2020-09-21 09:30:00,96735,96800,96540,96560,79960,262928
39,2020-09-21 09:45:00,96560,96880,96550,96780,89399,285184
40,2020-09-21 10:00:00,96775,97155,96725,96835,192306,625448
41,2020-09-21 10:15:00,96840,96945,96310,96705,189948,629406
42,2020-09-21 10:30:00,96700,96795,96140,96400,245943,854499
43,2020-09-21 10:45:00,96400,96730,96325,96655,165808,555561
44,2020-09-21 11:00:00,96655,96755,96275,96605,174115,554825
45,2020-09-21 11:15:00,96610,96710,96210,96245,148748,516407
46,2020-09-21 11:30:00,96240,96290,95820,95945,192945,688914
47,2020-09-21 11:45:00,95950,96175,95900,96095,115846,391213
48,2020-09-21 12:00:00,96090,96290,96055,96105,87504,306814
49,2020-09-21 12:15:00,96110,96140,95940,96060,89723,323631
50,2020-09-21 12:30:00,96065,96190,95880,96100,84111,316342
51,2020-09-21 12:45:00,96095,96365,96080,96180,77232,280566
52,2020-09-21 13:00:00,96185,96835,96170,96670,133589,498812
53,2020-09-21 13:15:00,96670,96860,96580,96730,90831,328628
54,2020-09-21 13:30:00,96725,96770,96570,96665,74074,267923
55,2020-09-21 13:45:00,96665,96690,96410,96490,89883,314031
56,2020-09-21 14:00:00,96490,96705,96375,96565,92789,319105
57,2020-09-21 14:15:00,96560,96745,96495,96655,81433,285217
58,2020-09-21 14:30:00,96660,97000,96605,96855,96304,338641
59,2020-09-21 14:45:00,96855,97370,96835,97065,134472,501279
60,2020-09-21 15:00:00,97070,97215,97005,97080,81233,286749
61,2020-09-21 15:15:00,97085,97235,97020,97125,78217,282047
62,2020-09-21 15:30:00,97125,97165,96720,96830,116206,394010
63,2020-09-21 15:45:00,96830,96875,96680,96705,68121,241176
64,2020-09-21 16:00:00,96700,97010,96685,96905,93343,334554
65,2020-09-21 16:15:00,96910,97095,96780,96865,92756,344274
66,2020-09-21 16:30:00,96860,96955,96760,96845,73694,272919
67,2020-09-21 16:45:00,96850,97060,96770,97045,76782,288612
68,2020-09-21 17:00:00,97045,97225,97015,97200,62395,232843
69,2020-09-21 17:15:00,97200,97215,97025,97075,37619,117546
70,2020-09-21 17:30:00,97070,97145,97025,97025,27513,86750
71,2020-09-21 17:45:00,97025,97055,96895,96940,26623,71362
72,2020-09-22 09:00:00,96940,96990,96620,96695,83311,235986
73,2020-09-22 09:15:00,96690,96915,96640,96905,98262,281300
74,2020-09-22 09:30:00,96905,97215,96890,97160,132467,425359
75,2020-09-22 09:45:00,97160,97175,96960,96975,92433,273640
76,2020-09-22 10:00:00,96970,97280,96900,97280,178517,559521
77,2020-09-22 10:15:00,97280,97495,97140,97425,181616,566937
78,2020-09-22 10:30:00,97420,97760,97240,97525,231750,767516
79,2020-09-22 10:45:00,97525,97575,96980,97085,178468,589632
80,2020-09-22 11:00:00,97090,97340,96960,97340,154500,529102
81,2020-09-22 11:15:00,97340,97475,96785,97075,185519,641861
82,2020-09-22 11:30:00,97075,97190,96885,96900,119650,414283
83,2020-09-22 11:45:00,96900,96905,96445,96455,157966,592815
84,2020-09-22 12:00:00,96455,96670,96405,96595,100304,383412
85,2020-09-22 12:15:00,96595,97045,96580,97010,105951,387388
86,2020-09-22 12:30:00,97005,97220,96785,96965,140987,500949
87,2020-09-22 12:45:00,96965,97035,96635,96940,98432,349093
88,2020-09-22 13:00:00,96940,97120,96900,97080,68839,254941
89,2020-09-22 13:15:00,97080,97090,96830,97000,68229,253900
90,2020-09-22 13:30:00,97000,97185,96970,97135,62076,226685
91,2020-09-22 13:45:00,97130,97180,96780,96925,90379,327148
